title,genres,countries,type,description,rating_imdb,votes_imdb,movieLength,ratingMpaa
breakout kings,"триллер, драма, криминал",США,tv-series,"Сериал рассказывает о команде состоящей из приставов и бывших беглецов, которые работают вместе, чтобы ловить сбежавших из тюрьмы преступников. Руководствуясь тем, что есть вещи более опасные чем только что сбежавший заключённый, и уставшие от последующих за этим протоколов и обращению к устаревшим методам поиска, опытные приставы США Чарли Дюшамп и Рэй Занкенелли проявляют необычный подход к своей работе: с помощью бывших беглецов ловить сбежавших из тюрьмы заключённых.",7.2,16621,0,
the following,"ужасы, триллер, драма, криминал, детектив",США,tv-series,"Джо Кэрол — бывший профессор колледжа, который убивал молодых женщин во славу романтизма, пока не был пойман. В тюрьме, используя библиотечный компьютер, он вербует убийц-подражателей, которые исполняют любую его команду.",7.4,92717,0,
"drugs, inc.","документальный, криминал",США,tv-series,,7.8,1472,0,
longmire,"боевик, драма, криминал, вестерн",США,tv-series,"Уолт Лонгмайр - шериф одного небольшого провинциального городка, расположенного в так называемом «Штате равноправия», то есть в Вайоминге. Его психологический портрет отличается весьма положительными характеристиками - порядочный, спокойный, честный, скромный, с хорошим чувством юмора. Прошел всего лишь год с той поры, как Уолт стал вдовцом. Пережить горечь этой утраты шерифу помогает его работа, которой он целиком и полностью отдает все свои силы и время. Полгода тому назад в городок прибыла Вик, ставшая первым замом и главной помощницей Уолта Лонгмайра. К слову, ранее эта симпатичная девушка работала детективом в убойном отделе полиции Филадельфии. Вместе эта парочка следит за порядком на вверенной им территории, и в свободное время тоже.",8.3,41383,0,
ripper street,"драма, криминал, детектив, триллер","Великобритания, Ирландия",tv-series,"События данного сериала разворачиваются в Лондоне 1889 года, сразу после громких убийств, совершенных Джеком Потрошителем. Команда детективов расследует преступления, попутно стараясь успокоить панику среди жителей Ист-Энда.",8.1,23003,0,
the fall,"триллер, драма, криминал",Великобритания,tv-series,"Белфаст, Северная Ирландия. Местное население терроризирует серийный убийца, которого никак не может поймать городская полиция. Детектив Стелла Гибсон берется разобраться в этом загадочном мрачном деле.",8.1,124207,0,
death in paradise,"комедия, детектив, драма, криминал","Великобритания, Франция",tv-series,Инспектора Лондонского управления полиции Ричарде Пуле отправили вести расследования в одно из самых (по его мнению) ужасных мест на земле — карибский остров Сент-Мари.,7.8,29669,0,
marvel's agents of s.h.i.e.l.d.,"фантастика, боевик, короткометражка",США,tv-series,,6.7,680,0,
crossing lines,"боевик, драма, криминал, триллер, детектив","Франция, Германия, Бельгия, США",tv-series,"С формированием Европейского Союза для упрощения торговли и путешествий были открыты границы. Однако это имело и другое последствие: взрыв международной преступности. При таких условиях преступники могут сбегать в любую страну и спрятаться в любом городе. В мире, где самые опасные персоны могут пересекать столько границ, элитное спецподразделение, каждый член которого избирался исходя из его особенных навыков, должно провести под этим черту.",7.3,14018,0,
the honorable woman,"триллер, драма","Великобритания, США",tv-series,"История о Нессе Штейн, женщине, которой по наследству достается оружейный бизнес отца, в результате чего она оказывается втянутой в события международного масштаба, пытаясь содействовать примирению между израильтянами и палестинцами.",7.9,11741,0,
transporter: the series,"боевик, криминал","Канада, Франция, США, Германия",tv-series,"Фрэнк Мартин — бывший сотрудник Сил специального назначения, ныне перевозчик разных грузов. Он не задает лишних вопросов и всегда соблюдает чёткие правила: «Никогда не изменяй условия сделки», «Никаких имён», «Никогда не открывать груз». Его точность вождения и боевые навыки позволяют ему выжить в самых опасных ситуациях на протяжении всей миссии.",6.4,7806,0,
gotham,"фантастика, боевик, триллер, драма, криминал, детектив",США,tv-series,"Детектив Джеймс Гордон приступает к работе в департаменте полиции Готэма. Город потрясает убийство Томаса и Марты Уэйн, влиятельных предпринимателей и филантропов, и Гордон берётся расследовать это дело. Между тем ему приходится сталкиваться с мафией и опасными злодеями, населяющими Готэм.",7.8,245389,0,
american odyssey,"боевик, триллер, драма",США,tv-series,"Бедствующая женщина-солдат, разочарованный корпоративный юрист и презираемый политический деятель оказываются вовлечены в международный заговор.",7.3,6339,0,
aquarius,"триллер, драма, криминал, детектив, биография",США,tv-series,"История о полицейских, которые работают под прикрытием, пытаясь выследить Чарльза Мэнсона и его секту под названием «Семья» до того, как они совершат ряд жестоких убийств.",7.0,13638,0,
hap and leonard,"триллер, драма, криминал, детектив",США,tv-series,"Сериал расскажет о необычной дружбе двух неудачников — Хэпа Коллинза и Леонарда Пайна. Хэп — белый работяга, который провел свою юность в тюрьме за то, что отказался воевать во Вьетнаме. Пайн — чернокожий открытый гей, ветеран Вьетнама, от которого отвернулась родня из-за его ориентации и проблем с управлением гневом.",7.6,8471,0,
rosewood,"драма, криминал, детектив",США,tv-series,"История о патологоанатоме из Майами, докторе Роузвуде. Он проводит вскрытия в своей передовой лаборатории, чтобы обнаружить улики, невидимые для департамента полиции.",6.7,9272,0,
limitless,"триллер, драма, фантастика",США,movie,"Нью-йоркский писатель Эдди, желая преодолеть чёрную полосу в жизни, принимает засекреченный препарат под названием NZT. Таблетка выводит мозг парня на работу в нереальной мощности. Этот творческий наркотик меняет всю жизнь Эдди, за короткий срок он зарабатывает кучу денег, но скоро начинает страдать от зловещих побочных эффектов препарата. А когда пытается найти других NZT-гениев, чтобы понять, как можно справиться с этим пристрастием, он узнает страшную правду…",7.4,622042,105,pg13
travelers,"фантастика, триллер, драма, детектив","Канада, США",tv-series,Через сотни лет оставшиеся в живых люди нашли способ отправлять сознание отдельных личностей в 21-й век. Эти путешественники во времени живут жизнью обычных людей и пытаются спасти человечество от ужасного будущего.,8.0,67653,0,
the doctor blake mysteries,"драма, криминал, детектив",Австралия,tv-series,"Доктор Люсьен Блейк покинул родной городок Балларат ещё молодым. Сейчас он возвращается в него, чтобы унаследовать медицинскую практику своего упокоившегося отца с вызовами на места преступления.  В 1959-ом году богатств времён золотой лихорадки, которой он обязан своей роскошной архитектурой, в городе давно нет, но тайны, убийства и обман, остались ещё со времён его былой славы.",8.0,5399,0,
i.t,"триллер, драма, криминал, детектив","Ирландия, Франция, Дания",movie,"Вся жизнь Майка Ригана и его семьи построена на последних достижениях искусственного интеллекта и высоких технологий, а его «умный» дом — настоящее произведение технического искусства. Когда Майк пытается прекратить зашедшие слишком далеко отношения своего IT-специалиста Эда с юной дочерью, жизнь Ригана и его семьи оказываются под угрозой. Они попадают в ловушку созданных Риганом «умных технологий», которыми теперь управляет безумный гений Эд, вовлекая Ригана в опасную и непредсказуемую игру.",5.5,17183,95,
the west wing,драма,США,tv-series,"Сериал повествует о внутренней жизни администрации Президента США. Речь, по большей части, идет не о заговорах и политических интригах, а о повседневной рутине - законотворчестве, работе с конгрессом, правительством и прочими организациями и учреждениями; о политических торгах, дипломатической работе и отношениях с прессой. Главные герои сериала - сотрудники администрации: глава президентского аппарата, его помощники, президентские советники, пресс-секретарь… Сам Президент остается зачастую несколько в стороне от основного действия, появляясь лишь в наиболее важные моменты. Сериал наполнен блестящими остроумными диалогами, серьезными злободневными вопросами и ненавязчивым желанием сделать этот мир немного лучше.",8.9,90151,0,
blue bloods,"триллер, драма, криминал, детектив",США,tv-series,"Френк Рейган – глава полиции Нью-Йорка и патриарх семейства Рейганов, которым он управляет столь же дипломатично, как управляет полицией, даже когда имеет дело с политикой, что досаждала его чрезмерно смелому отцу, Генри, когда тот был главой полиции. Источником гордости и беспокойства Френка является его старший сын, Дэнни, опытный детектив, семейный человек и ветеран войны в Ираке, который иногда прибегает к сомнительным методам для раскрытия дел.

 Единственная женщина в семье, Эрин, работает помощником прокурора Нью-Йорка, мать-одиночка, которая служит компасом закона для братьев и отца. Джейми – младший из Рейганов, недавно закончил юридический Гарварда и считается «золотым ребенком» семьи. Но он решил следовать семейной традиции, и отказался от работы в престижной юридической фирме, чтобы стать копом. Его решение вроде как поддерживает его девушка, красавица Сидни, начинающий адвокат. Жизнь Джейми внезапно берет крутой поворот, когда ему предлагают участвовать во внутреннем расследовании, о котором не знает даже его отец, и которое может повлиять на всю семью.",7.7,50463,0,
forensic files,"документальный, криминал",США,tv-series,,8.8,7555,0,
rectify,драма,США,tv-series,"Даниэлю Холдену приходится заново строить свою жизнь после 19 лет, проведенных в камере смертников.",8.3,28053,0,
american crime,"драма, криминал",США,tv-series,"События разворачиваются в небольшом калифорнийском городке. В результате жестокого нападения на почве расовой ненависти убит бывший военнослужащий, а его жена впадает в кому…",7.7,10230,0,
madam secretary,"триллер, драма",США,tv-series,"История о государственном секретаре. После нескольких лет жизни вдали от ЦРУ, ей вновь приходится вернуться на политическую арену, где у нее получается решать вопросы даже в тех случаях, когда ради этого необходимо играть не по правилам.",7.8,27737,0,
american crime story: the people v. o.j. simpson,"драма, криминал, биография",США,tv-series,"Каждый сезон проекта снят в жанре криминальной драмы и расскажет о том или ином громком преступлении, оставившем свой след в истории Соединенных Штатов. Первый сезон поведает зрителям обо всех перипетиях так называемого «Дела Симпсона», прогремевшего на весь мир в 90-х годах прошлого века. Окровавленные перчатки, странные показания соседей, попытка суицида, чехарда с присяжными и знаменитая погоня за подозреваемым, которая транслировалась по телевизору в прямом эфире… Эта история о том, как звезда экранов, возможно, жестоко убил двух человек, настолько запутана, что зрителю придется самому выбрать верную сторону.",0.0,0,0,
the nightmare before christmas,"мультфильм, мюзикл, фэнтези, семейный",США,cartoon,"В царстве Хэллоуин, царстве страхов и кошмаров, живут мертвецы, уродцы, чудовища во главе с царем ужасов Джеком Скеллингтоном. Под рождество Джек случайно попадает в город Рождества, где узнает, что где-то есть радость, добро и веселье. Ему страшно захотелось испытать это чувство — дарить людям счастье — и он похитил Санта Клауса и занял его место.",7.9,377243,76,pg
scooby-doo,"фэнтези, комедия, детектив, приключения, семейный","США, Австралия",movie,"Два года спустя после того, как Тайная корпорация распалась из-за возникших противоречий Скуби-Ду и его сообразительных приятелей, раскрывших не одно преступление, Фреда, Дафну, Шэгги и Велму, поодиночке вызывают на Зловещий остров, чтобы они начали расследование серии паранормальных явлений, происходящих в Спринг-Брейк.

Опасаясь, что его невероятно популярный курорт на самом деле может быть населен привидениями, владелец Зловещего острова Эмиль Мондавариус пытается воссоединить легендарных детективов, чтобы те разрешили загадку, пока сверхъестественная тайна не распугала всех отдыхающих студентов.

Скуби-Ду и его команде придется преодолеть личные разногласия и по-новому взглянуть на мнимых вампиров и нереальных привидений. И все это, чтобы распутать дело, спасти самих себя, а возможно... и весь мир...",5.3,126605,89,pg
chicken little,"мультфильм, фантастика, фэнтези, комедия, приключения, семейный","США, Япония",cartoon,"В основе фильма лежит старая басня про цыпленка, который вопил о том, что небеса падают на землю каждый раз, когда ему на голову падал желудь. Вот уже год, как Цыплёнок пытается преодолеть позор своей ошибки (про падающие небеса) и жить как ни в чём не бывало.

Но – увы! - желающих дружить с неудачником немного, и поэтому в товарищах у него ходят такие же изгои, как и он сам. Но однажды действительно случается несчастье - пора бить тревогу! Но кто поверит Цыплёнку , ведь он уже опростоволосился однажды…

Теперь будущее планеты зависит от скромных бойцов невидимого фронта: свинёнка-акселерата, убогонькой уточки, золотой рыбки-мутанта и Цыплёнка, с которым никто не хочет знаться.",5.7,101532,81,g
teenage mutant ninja turtles,"фантастика, боевик, комедия, приключения",США,movie,"Город нуждается в героях. Тьма окутала Нью-Йорк в виде Шреддера и его зловещего Клана Футов, у которого имеется железный контроль над всеми, от полицейских до политиков. Будущее выглядит мрачным, пока из канализации не поднимается и не раскрывает своё предназначение четвёрка отверженных братьев — Черепашки-ниндзя. Черепашки должны работать вместе с бесстрашным репортёром Эйприл и её саркастическим оператором Верном Фенвиком, чтобы спасти город и разгадать дьявольский план Шреддера.",5.8,221320,101,pg13
star wars: the clone wars,"мультфильм, фантастика, фэнтези, боевик, драма, приключения",США,animated-series,"Великая Армия Республики, ведомая Йодой, Мейсом Винду, Оби-Ваном Кеноби и другими рыцарями-джедаями, сражается против Новой Армии Дроидов сепаратистов.",8.4,128007,0,
the smurfs and the magic flute,"мультфильм, фэнтези, комедия, приключения, семейный","США, Бельгия, Канада",cartoon,"По сюжету, спасаясь от злого волшебника Гаргамеля, крошечные смурфики оказываются за пределами родной деревни.  Из своего волшебного мира они попадают прямиком в  наш мир, а именно в Центральный парк города Нью-Йорк. Теперь маленьким отважным смурфикам предстоит отыскать дорогу домой и не попасть в лапы Гаргамеля.",5.4,97348,103,pg
we're back! a dinosaur's story,"мультфильм, фэнтези, комедия, приключения, семейный, фантастика","США, Великобритания",cartoon,"Добрый профессор с говорящим именем Благовзгляд отправился во времена динозавров на своём чудесном дирижабле, способном перемещаться во времени. Поймав четырёх злобных динозавров, профессор накормил их специальным препаратом, превратившим монстров в говорящих весельчаков. После этого Благовзгляд дал динозаврам послушать своё Радио Желаний, в котором можно было услышать мечты детей, ради которых, собственно, учёный и отловил доисторических животных.

К сожалению, из-за временных неполадок в системе корабля все четыре гостя из прошлого были катапультированы прямо на голову мальчишке Луи, занимавшемуся сёрфингом. Он отнёсся к появлению «монстров» как к обычному явлению - впрочем, только он. Дабы не напугать горожан, пришельцы притворились роботами. И всё бы ничего, если бы их не разоблачила маленькая девочка, а Луи вместе со своей новой знакомой не оказался в плену у злобного братца Благовзгляда - инфернального Дурноглаза, устроившего цирк страшилищ...",6.0,16182,72,g
thomas & friends: thomas & the runaway kite,приключения,США,tv-series,,0.0,0,0,
dino squad,мультфильм,США,animated-series,,5.2,190,0,
cars toons: mater's tall tales,"мультфильм, короткометражка, боевик, комедия, приключения, семейный",США,cartoon,Новый знакомый Мэтра просит помощи у него – в результате наши герои оказываются в Токио для участия в поединке по дрифт-рейсингу с самым главным бандитом. Но титул Короля дрифта Мэтр получил лишь благодаря поддержке Молнии Дракона МакКуина.,6.6,1666,7,g
leapfrog: the amazing alphabet amusement park,"мультфильм, короткометражка, семейный",США,cartoon,,7.6,51,37,
phineas and ferb,"мультфильм, мюзикл, фантастика, боевик, комедия, семейный","США, Канада, Китай, Тайвань, Корея Южная",animated-series,"Двое братьев, Финес и Ферб, каждый день разрабатывают безумные планы и изобретают невероятные вещи. Тем временем домашний любимец мальчиков, утконос Перри, пытается помешать злобному ученому по имени Хайнц Фуфелшмертц.",8.1,60318,0,
the batman,"детектив, криминал, драма, боевик",США,movie,"После двух лет поисков правосудия на улицах Готэма Бэтмен становится для горожан олицетворением беспощадного возмездия. Когда в городе происходит серия жестоких нападений на высокопоставленных чиновников, улики приводят Брюса Уэйна в самые тёмные закоулки преступного мира, где он встречает Женщину-Кошку, Пингвина, Кармайна Фальконе и Загадочника. Теперь под прицелом оказывается сам Бэтмен, которому предстоит отличить друга от врага и восстановить справедливость во имя Готэма.",7.8,853084,176,pg13
justice league,"фантастика, боевик, фэнтези","США, Канада, Великобритания",movie,"Вдохновившись самопожертвованием Супермена, Брюс Уэйн вновь обретает веру в человечество. Он заручается поддержкой новой союзницы Дианы Принс, чтобы сразиться с еще более могущественным противником. Бэтмен и Чудо-Женщина быстро набирают команду сверхлюдей для борьбы с пробудившейся угрозой. Но, несмотря на уникальный состав отряда супергероев — Бэтмен, Чудо-Женщина, Аквамен, Киборг и Флэш — быть может, спасать планету от вторжения катастрофических масштабов уже слишком поздно.",6.1,480642,110,pg13
justice league unlimited,"мультфильм, фантастика, фэнтези, боевик, приключения, семейный",США,animated-series,,8.7,22280,0,
mighty morphin power rangers,"фантастика, боевик, приключения, семейный","США, Япония",tv-series,"Наше время (1993-й год). Во время очередной высадки на Луну космонавты Земли находят странную металлическую бочку, и случайно открывают ее. На самом деле бочка была магической темницей. Так после 10000 лет заключения освобождается злая и могущественная волшебница Рита Репульса (Рита Отвратительная). Она тут же возводит себе на Луне дворец, создает армию из отвратительных Патрулей, и решает захватить Землю. В этом ей помогают ее помощники - тупоумные Скватт и Бабу, злобный Голдар, и старый ученый-маг Финстер.",6.6,25197,0,pg
young justice,"мультфильм, фантастика, фэнтези, боевик, мелодрама, криминал, приключения",США,animated-series,"Мультсериал о группе подростков-помощников Супергероев из Лиги Справедливости. Они захотели утвердиться и доказать своим опытным наставникам, что они готовы самостоятельно выполнять задания чрезвычайной опасности.",8.6,47668,0,
the super mario bros. super show!,"мультфильм, фэнтези, боевик, приключения, семейный","США, Канада",animated-series,"Смешное действие об эксцентричных похождениях двух бруклинских водопроводчиков, живущих в полуподвальном помещении, кишащем забавными и причудливыми существами.",6.3,5054,0,
power rangers zeo,"фантастика, фэнтези, боевик, приключения, семейный","США, Франция, Япония",tv-series,"История Рейнджеров Зео началась в тот момент, когда отец злой волшебницы Риты Репульсы — Король Зол, применил против отряда Рейнджеров Земли — Могучих Морфинов, артефакт Сферу Судьбы. Из-за воздействия этого артефакта время на Земле пошло назад, и Рейнджеры превратились в детей. Тогда на помощь Рейнджерам Земли пришли Аквитарские Рейнджеры с планеты Аквитар, которые временно «заменили» Морфинов на их посту.",6.5,3285,0,
oscar's oasis,"мультфильм, комедия, приключения, семейный","Франция, Великобритания, Корея Южная",animated-series,"Веселые приключения ящерицы Оскара и глуповатой троицы Свитти, Харчи и Бэки, начинаются. Пути Оскара и неугомонного трио постоянно пересекаются и они не дадут вам заскучать. Затерянные в засушливой пустыне - они пытаются выжить, и прежде всего не умереть от скуки. В приоритете стоят следующий условия для выживания: найти воду, тень, что-нибудь вкусненькое, и найти какое-нибудь занятие.",7.3,872,0,
transformers prime,"мультфильм, фантастика, боевик",США,animated-series,"Уверенные, что опасность миновала, автоботы, тем не менее, оставляют на Земле небольшую группу защитников под руководством Оптимуса Прайма. Предосторожность оказывается не напрасной — три года спустя Мегатрон объявляется снова и приносит с собой Тёмный Энергон, с помощью которого рассчитывает отомстить за прошлое поражение. Автоботы опять вынуждены взяться за оружие. Они подружились с несколькими земными подростками, и теперь команда роботов и людей сражается, чтобы защитить Землю от десептиконов.",8.0,9159,0,
the adventures of chuck & friends,"мультфильм, семейный","США, Канада",animated-series,"Грузовичок Чак и его товарищи одинаково любят работать и веселиться. Они с лёгкостью решают любые проблемы, потому что всегда помогают друг другу. Кроме того, Чак обожает фантазировать, поэтому друзьям никогда не приходится скучать. ",5.3,146,0,
transformers: rescue bots,"мультфильм, короткометражка, фантастика, боевик, комедия, приключения, семейный","Канада, США",animated-series,"Боты-спасатели - это дружная команда автоботов, призванная помогать людям. Герои мультсериала - четверо автоботов, которые прибыли на Землю недавно, поэтому не знакомы с людскими правилами. Оптимус Прайм поручил им важную миссию - разузнать всё о людях, подружиться с ними и защищать их от разных земных бед и опасностей. Чейз, Хитвейв, Блэйдс и Болдер работают на технически оснащенном острове, выдавая себя за обыкновенных транспортных роботов. Здесь автоботы объединяются с семьей специалистов быстрого реагирования, среди которых есть шеф полиции, пожарник, пилот вертолета и инженер. Их общая задача - поддерживать безопасность на острове, спасать его жителей во время стихийных бедствий и техногенных катастроф. Выполняя эту миссию, боты-спасатели научатся командной работе и станут настоящими героями.",6.6,1221,0,
thomas & friends: king of the railway,"мультфильм, фэнтези, комедия, приключения, семейный",Великобритания,cartoon,"Новое незабываемое приключение бесстрашного паровозика Томаса! Томас и его друзья узнают, что сэр Роберт Норрэмби, граф Содора, возвращается на остров с большим сюрпризом. Все паровозы очень взволнованы из-за этого известия. А тем временем Томасу и его команде предстоит совершить множество подвигов — разгадать загадки прошлого, помочь новому другу, спасти старинный разрушенный замок и, возможно, даже отыскать сокровища!",6.3,345,62,
lego: marvel super heroes: maximum overload,"мультфильм, фантастика, короткометражка, фэнтези, боевик, комедия, приключения, семейный",США,cartoon,"Всё действие мультфильма происходит в стране, которая «собрана» из кубиков этого популярного конструктора. И все герои здесь, конечно же, тоже являются человечками-лего. Чем же заняты наши герои? Они, как всегда стоят на страже спокойствия сограждан. Именно им досталась нелёгкая доля защищать жителей Земли и Вселенной от посягательств коварного Локи. Он опять задумал стать господином всего мира. Но отважная команда не допустит этого! Железный Человек, Тор, Халк, Человек-Паук и все остальные члены команды Мстителей не дадут уничтожить друг друга волшебными снежками, которые могут полностью изменить сознание любого. Только действуя сообща, они опять отстоят мирную жизнь, которая так не нравится злым силам.",6.3,1616,22,
max steel,"фантастика, фэнтези, боевик, приключения","Великобритания, США",movie,"Когда подросток Макс МакГрат обнаруживает, что его тело может генерировать наиболее мощную энергию во Вселенной, ему приходится встретиться с единственным существом, способным совладать с такой энергией — таинственным техно-органическим инопланетянином по имени Стил.",4.6,20883,92,pg13
transformers prime beast hunters: predacons rising,"мультфильм, фантастика, боевик, семейный",США,cartoon,"Вечно воюющие трансформеры должны объединиться, чтобы противостоять новому врагу, способному уничтожить их родную планету. Планета Кибертрон возрождена, но миру трансформеров снова угрожает опасность. Злодей Юникрон возродился и захватил тело Мегатрона. Он намеревается отомстить автоботам и уничтожить планету трансформеров. Чтобы противостоять такому мощному врагу, трансформерам придется объединиться. Автоботы, десептиконы и предаконы плечом к плечу будут защищать родную планету Кибертрон.",7.4,1793,66,
agent f.o.x.,"триллер, комедия, криминал, семейный",США,movie,"Старшеклассница Патти Рэндалл не любит свой город, о чем и написала в сочинении. Зато она любит своего озорного голубоглазого кота ДиСи, который ловко носится по крышам. Все люди ей кажутся скучными и глупыми, видимо, так оно и есть. Тогда и начинаются странные и смешные приключения, связанные с котом, ФБР, полицией. Впрочем, как мы знаем, и одного энергичного дурака достаточно, чтобы перевернуть все вверх дном.",6.7,7993,116,g
veggietales in the house,"мультфильм, комедия, приключения, детский",США,animated-series,"Помидор Боб, Огурец Ларри и их друзья-овощи отправляются в путешествие за пределы кухни. ",4.1,366,0,
thunder and the house of magic,"мультфильм, семейный","Бельгия, Великобритания, Франция",cartoon,"Спасаясь от проливного дождя, любопытный уличный кот попадает в таинственный особняк, принадлежащий старому фокуснику Лоренцо. В доме иллюзиониста живет немало зверей, и далеко не все они рады новому обитателю. Особенно подозрительно относятся к нему кролик Джек и мышка Минни. Но когда Лоренцо оказывается в больнице, а его племянник решает продать дядюшкино жилье, зверькам приходится объединиться. И в плане по спасению дома коту предстоит сыграть очень важную роль.",6.2,7520,85,
all hail king julien,"мультфильм, фэнтези, комедия",США,animated-series,"Мультсериал рассказывает об инфантильном и эгоцентричном короле лемуров Джулиане и его жизни до встречи с героями мультфильма «Мадагаскар». Его девиз: «Лови момент!» Как полноправный правитель своего королевства, он постоянно закатывает грандиозные вечеринки и строго следит за тем, чтобы каждый день его подданные проживали как последний.",7.1,2589,0,
